ZONE N=35, E=64, F=FEPOINT, ET=TETRAHEDRON
0.25 0.25 0.25 -0.14254 0.0019361 -0.233926 24.0288 
0.1875 0.0625 0.4375 -0.0427978 0.00252125 -0.0861308 26.6269 
0.1875 0 0.4375 0 0 0 27.1847 
0.25 0 0.5 0 0 0 27.629 
0.0625 0.0625 0.4375 -0.0278811 -0.00743168 -0.0975147 26.4229 
0.0625 0 0.4375 0 0 0 26.9807 
0.125 0 0.5 0 0 0 27.425 
0 0 0.5 0 0 0 27.221 

1 2 6 16
2 6 16 20
2 6 7 20
2 16 17 20
2 7 17 20
2 3 7 17
3 7 17 21
3 7 8 21
3 17 18 21
3 8 18 21
3 4 8 18
4 8 18 22
4 8 9 22
4 18 19 22
4 9 19 22
7 17 20 21
4 5 9 19
8 18 21 22
6 7 10 20
7 10 20 23
7 10 11 23
7 20 21 23
7 11 21 23
7 8 11 21
8 11 21 24
8 11 12 24
8 21 22 24
8 12 22 24
8 9 12 22
11 21 23 24
10 11 13 23
11 13 23 25
11 13 14 25
11 23 24 25
11 14 24 25
11 12 14 24
13 14 15 25
16 17 20 26
17 20 26 29
17 20 21 29
17 26 27 29
17 21 27 29
17 18 21 27
18 21 27 30
18 21 22 30
18 27 28 30
18 22 28 30
18 19 22 28
21 27 29 30
20 21 23 29
21 23 29 31
21 23 24 31
21 29 30 31
21 24 30 31
21 22 24 30
23 24 25 31
26 27 29 32
27 29 32 34
27 29 30 34
27 32 33 34
27 30 33 34
27 28 30 33
29 30 31 34
32 33 34 35
ZONE N=35, E=64, F=FEPOINT, ET=TETRAHEDRON
0.25 0.25 0.25 -0.14254 0.0019361 -0.233926 24.0288 
0.3125 0.1875 0.3125 -0.143901 0.0233952 -0.180326 25.0308 
0.375 0.125 0.375 -0.120598 0.0302255 -0.123472 26.0329 
0.4375 0.0625 0.4375 -0.0726311 0.0224271 -0.063363 27.035 
0.5 0 0.5 0 0 0 28.037 
0.3125 0.1875 0.1875 0.0798376 -0.0153198 -0.0969122 24.4469 
0.375 0.125 0.25 0.028561 0.00441555 -0.0678624 25.449 
0.4375 0.0625 0.3125 0.00194851 0.00952213 -0.0355583 26.4511 
0.5 0 0.375 0 0 0 27.4532 
0.375 0.125 0.125 0.17772 -0.0213944 -0.0122532 24.8651 
0.4375 0.0625 0.1875 0.0765281 -0.00338284 -0.00775374 25.8672 
0.5 0 0.25 0 0 0 26.8693 
0.4375 0.0625 0.0625 0.151108 -0.0162878 0.0200509 25.2833 
0.5 0 0.125 0 0 0 26.2854 
0.5 0 0 0 0 0 25.7015 
0.3125 0.25 0.25 -0.0949434 0.0159715 -0.190198 24.2544 
0.375 0.1875 0.3125 -0.114038 0.0296316 -0.139088 25.2564 
0.4375 0.125 0.375 -0.108468 0.0286629 -0.0847244 26.2585 
0.5 0.0625 0.4375 -0.0782336 0.0130655 -0.0271062 27.2606 
0.375 0.1875 0.1875 0.100416 0.00524536 -0.0777585 24.6725 
0.4375 0.125 0.25 0.0314065 0.0171817 -0.0511992 25.6746 
0.5 0.0625 0.3125 -0.0129391 0.0144893 -0.0213856 26.6767 
0.4375 0.125 0.125 0.17128 0.00570043 -0.0176739 25.0907 
0.5 0.0625 0.1875 0.0523553 0.015913 -0.0156649 26.0928 
0.5 0.0625 0.0625 0.11765 0.0173367 -0.0099443 25.5089 
0.375 0.25 0.25 -0.059632 0.0261471 -0.147876 24.48 
